OBJECTID,DPTOMPIO,CODIGO_VER,NOM_DEP,NOMB_MPIO,NOMBRE_VER,VIGENCIA,FUENTE,DESCRIPCIO,SEUDONIMOS,AREA_HA,COD_DPTO,ShapeSTArea,ShapeSTLength
1463,52693,52693036,NARIÑO,SAN PABLO,LLANOS CHIQUITOS,2005,POT,NULL,NULL,83.3202957,52,837281.021606445,3756.04458031554
1464,52693,52693045,NARIÑO,SAN PABLO,RAMAL BAJO,2005,POT,NULL,NULL,548.92370261,52,5517230.65563965,13212.3760860349
1465,52693,52693003,NARIÑO,SAN PABLO,ALTAMIRA,2005,POT,NULL,NULL,576.23897982,52,5791731.08117676,10845.4414858473
1466,52693,52693025,NARIÑO,SAN PABLO,FRANCIA,2005,POT,NULL,NULL,196.63504425,52,1976269.30737305,6138.43044737406
1467,52693,52693020,NARIÑO,SAN PABLO,EL DIVISO,2005,POT,NULL,NULL,263.01628804,52,2643481.13806152,7103.16422315773
1468,52693,52693007,NARIÑO,SAN PABLO,BELLAVISTA,2005,POT,NULL,NULL,468.02961218,52,4704103.2857666,9527.86508199044
1469,52838,52838052,NARIÑO,TÚQUERRES,PUEBLO NUEVO,2009,EOT,NULL,NULL,44.60730338,52,447527.930541992,3587.58453787576
1470,52786,52786024,NARIÑO,TAMINANGO,LECHERAL,2010,POT,NULL,NULL,1452.10212002,52,14582891.0820312,20564.2574780851
1471,52786,52786023,NARIÑO,TAMINANGO,LAS JUNTAS,2010,POT,NULL,NULL,641.2907707,52,6440485.07543945,11412.9006042859
1472,52786,52786036,NARIÑO,TAMINANGO,REMOLINO,2010,POT,VEREDA CON CENTRO POBLADO,NULL,1485.2276007,52,14916885.5460205,21495.9919711068
1473,52786,52786002,NARIÑO,TAMINANGO,CHAPUNGO,2010,POT,NULL,NULL,628.92552545,52,6315209.80285645,11250.1831596231
1474,52786,52786018,NARIÑO,TAMINANGO,GUAMBUYACO,2010,POT,NULL,NULL,1298.66951157,52,13039957.3389893,16334.4122942508
1475,52786,52786009,NARIÑO,TAMINANGO,EL DIVISO,2010,POT,NULL,NULL,683.7172224,52,6865418.88659668,13396.5521448843
1476,52786,52786033,NARIÑO,TAMINANGO,PANOYA,2010,POT,NULL,NULL,39.13523915,52,392989.437866211,2835.76483730358
1477,52786,52786016,NARIÑO,TAMINANGO,EL TABLÓN,2010,POT,VEREDA CON CENTRO POBLADO,NULL,415.17129361,52,4168967.10534668,9472.42559531865
1478,52786,52786005,NARIÑO,TAMINANGO,CUMBAL,2010,POT,NULL,NULL,610.38666941,52,6129104.67492676,12475.3739941381
1479,52693,52693027,NARIÑO,SAN PABLO,LA CAÑADA,2005,POT, AUMENTA UN 50% DE SU AREA INICIAL,NULL,85.33443743,52,857532.583496094,4033.46716452619
1480,52693,52693042,NARIÑO,SAN PABLO,PLAYA BAJA,2005,POT,NULL,NULL,96.01221015,52,964841.359863281,5526.67430918551
1481,52693,52693026,NARIÑO,SAN PABLO,LA BRISA,2005,POT,MULTIPARTES DESPUES DE LA EDICIÓN,NULL,63.87309565,52,641878.908447266,5793.64268864946
